Артикул;Наименование;ТИП;стиль;"МРЦ руб";"цвет арматуры";"цвет абажура";"материал арматуры";"материал абажура";"цвет встройки";"цвет кабеля/цепи";производитель;цоколь;напряжение;"мощность ламп";"степень защиты";"кол-во ламп";диаметр;"диаметр абажура/плафона";ширина;высота;"диапазон регулировки min-max";коллекция;фото;вес;Количество
"LDP 1200-4 F.GD";"Хрустальная подвесная люстра Lumina Deco Fabione LDP 1200-4 F.GD";Люстры;Классический;32250;"золотой, кремовый";кремовый;"металл, хрусталь, ткань";ткань;золотой;"прозрачный, золотой";"Lumina Deco";E14;220-240;40;IP20;4;580;;580;580;"580 - 1300";FABIONE;"https://luminadecoshop.ru/23108/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-4-fgd.jpg;https://luminadecoshop.ru/24633/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-4-fgd.jpg;https://luminadecoshop.ru/31614/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-4-fgd.jpg;https://luminadecoshop.ru/31615/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-4-fgd.jpg;https://luminadecoshop.ru/31616/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-4-fgd.jpg;https://luminadecoshop.ru/31617/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-4-fgd.jpg;https://luminadecoshop.ru/31618/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-4-fgd.jpg";9;9
"LDP 1200-6 BK";"Хрустальная подвесная люстра Lumina Deco Fabione LDP 1200-6 BK";Люстры;Классический;35600;черный;черный;"металл, хрусталь, ткань";ткань;черный;"черный, прозрачный";"Lumina Deco";E14;220-240;40;IP20;"6, 6-9";700;;700;650;"700 - 1300";FABIONE;"https://luminadecoshop.ru/23124/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-6-bk.jpg;https://luminadecoshop.ru/24133/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-6-bk.jpg;https://luminadecoshop.ru/25662/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-6-bk.jpg;https://luminadecoshop.ru/31636/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-6-bk.jpg;https://luminadecoshop.ru/31637/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-6-bk.jpg;https://luminadecoshop.ru/31638/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-6-bk.jpg;https://luminadecoshop.ru/31639/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-6-bk.jpg;https://luminadecoshop.ru/31640/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-6-bk.jpg";"13 ";8
"LDP 1200-6 CHR";"Хрустальная подвесная люстра Lumina Deco Fabione LDP 1200-6 CHR";Люстры;Классический;35600;"серебряный, хром";серебряный;"металл, хрусталь, ткань";ткань;хром;"прозрачный, хром";"Lumina Deco";E14;220-240;40;IP20;"6, 6-9";700;;700;650;"700 - 1300";FABIONE;"https://luminadecoshop.ru/25513/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-6-chr.jpg;https://luminadecoshop.ru/25514/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-6-chr.jpg;https://luminadecoshop.ru/31632/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-6-chr.jpg;https://luminadecoshop.ru/31633/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-6-chr.jpg;https://luminadecoshop.ru/31634/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-6-chr.jpg;https://luminadecoshop.ru/31635/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-6-chr.jpg";"13 ";7
"LDP 1200-6 F.GD";"Хрустальная подвесная люстра Lumina Deco Fabione LDP 1200-6 F.GD";Люстры;Классический;35600;"золотой, кремовый";кремовый;"металл, хрусталь, ткань";ткань;золотой;"прозрачный, золотой";"Lumina Deco";E14;220-240;40;IP20;"6, 6-9";700;;700;650;"700 - 1300";FABIONE;"https://luminadecoshop.ru/23110/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-6-fgd.jpg;https://luminadecoshop.ru/23819/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-6-fgd.jpg;https://luminadecoshop.ru/24015/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-6-fgd.jpg;https://luminadecoshop.ru/25673/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-6-fgd.jpg;https://luminadecoshop.ru/31627/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-6-fgd.jpg;https://luminadecoshop.ru/31628/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-6-fgd.jpg;https://luminadecoshop.ru/31629/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-6-fgd.jpg;https://luminadecoshop.ru/31630/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-6-fgd.jpg;https://luminadecoshop.ru/31631/khrustalnaya-podvesnaya-lyustra-lumina-deco-fabione-ldp-1200-6-fgd.jpg";"13 ";7
"LDP 8443-3 CHR";"Хрустальная подвесная люстра Lumina Deco Fontenea LDP 8443-3 CHR";Люстры;Классический;10200;"серебряный, хром";серебряный;"металл, хрусталь, ткань";ткань;хром;"прозрачный, хром";"Lumina Deco";E14;220-240;40;IP20;3;600;;600;600;"650 - 1400";FONTENEA;"https://luminadecoshop.ru/23403/khrustalnaya-podvesnaya-lyustra-lumina-deco-fontenea-ldp-8443-3-chr.jpg;https://luminadecoshop.ru/23948/khrustalnaya-podvesnaya-lyustra-lumina-deco-fontenea-ldp-8443-3-chr.jpg;https://luminadecoshop.ru/25663/khrustalnaya-podvesnaya-lyustra-lumina-deco-fontenea-ldp-8443-3-chr.jpg";"7 ";2
"LDP 8443-6 CHR";"Хрустальная подвесная люстра Lumina Deco Fontenea LDP 8443-6 CHR";Люстры;Классический;18000;"серебряный, хром";серебряный;"металл, хрусталь, ткань";ткань;хром;"прозрачный, хром";"Lumina Deco";E14;220-240;40;IP20;"6, 6-9";750;;750;700;"750 - 1500";FONTENEA;"https://luminadecoshop.ru/23113/khrustalnaya-podvesnaya-lyustra-lumina-deco-fontenea-ldp-8443-6-chr.jpg;https://luminadecoshop.ru/23133/khrustalnaya-podvesnaya-lyustra-lumina-deco-fontenea-ldp-8443-6-chr.jpg;https://luminadecoshop.ru/23949/khrustalnaya-podvesnaya-lyustra-lumina-deco-fontenea-ldp-8443-6-chr.jpg;https://luminadecoshop.ru/25664/khrustalnaya-podvesnaya-lyustra-lumina-deco-fontenea-ldp-8443-6-chr.jpg";"10 ";2
"LDP 17078-8 CHR";"Подвесная люстра Lumina Deco Cesaro LDP 17078-8 CHR";Светильники;Классический;53000;хром;хром;"металл, хрусталь";металл;хром;хром;"Lumina Deco";E14;220-240;40;IP20;"8, 6-9";700;;700;;"700 - 1300";CESARO;"https://luminadecoshop.ru/22190/podvesnaya-lyustra-lumina-deco-cesaro-ldp-17078-8-chr.jpg;https://luminadecoshop.ru/23115/podvesnaya-lyustra-lumina-deco-cesaro-ldp-17078-8-chr.jpg;https://luminadecoshop.ru/23116/podvesnaya-lyustra-lumina-deco-cesaro-ldp-17078-8-chr.jpg;https://luminadecoshop.ru/23953/podvesnaya-lyustra-lumina-deco-cesaro-ldp-17078-8-chr.jpg;https://luminadecoshop.ru/25720/podvesnaya-lyustra-lumina-deco-cesaro-ldp-17078-8-chr.jpg";;1
"LDW 17100-2 CHR";"Бра Lumina Deco Liniano LDW 17100-2 CHR";Бра;Классический;5100;"хром, серый";серый;"металл, хрусталь, ткань";ткань;хром;;"Lumina Deco";E14;220-240;40;IP20;2;;;300;250;;LINIANO;"https://luminadecoshop.ru/23120/bra-lumina-deco-liniano-ldw-17100-2-chr.jpg;https://luminadecoshop.ru/25681/bra-lumina-deco-liniano-ldw-17100-2-chr.jpg";3;42
"LDW 17100-2 GD";"Бра Lumina Deco Liniano LDW 17100-2 GD";Бра;Классический;5100;"золотой, кремовый";кремовый;"металл, хрусталь, ткань";ткань;золотой;;"Lumina Deco";E14;220-240;40;IP20;2;;;300;250;;LINIANO;"https://luminadecoshop.ru/23121/bra-lumina-deco-liniano-ldw-17100-2-gd.jpg;https://luminadecoshop.ru/25703/bra-lumina-deco-liniano-ldw-17100-2-gd.jpg";3;5
"LDW B005-2 MD";"Бра Lumina Deco Gubi LDW B005-2 MD";Бра;"Индустриальный, Лофт";8900;бронза;бронза;металл;металл;бронза;;"Lumina Deco";E27;220-240;40;IP20;1;;190;480;220;да;GUBI;"https://luminadecoshop.ru/24000/bra-lumina-deco-gubi-ldw-b005-2-md.jpg;https://luminadecoshop.ru/25629/bra-lumina-deco-gubi-ldw-b005-2-md.jpg";2,5;12
